event_id,name,url,image_url,date,time,status,segment,genre,subgenre,venue_name,venue_city,venue_address,venue_lat,venue_lon,day_of_week,month_name,month_num,year,hour
Z698xZq2Z1kA6oy0-,KAJ,https://www.ticketmaster.se/event/kaj-biljetter/147479921,https://s1.ticketm.net/dam/e/eba/e784f333-ceff-4f11-95b6-1c697dfa3eba_RECOMENDATION_16_9.jpg,2026-11-24,19:30,onsale,Arts & Theatre,Spectacular,Spectacular,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Tuesday,November,11,2026,19
Z698xZq2Z16vJ6JFr6,Svansjön med Liveorkester,https://www.ticketmaster.se/event/svansjon-med-liveorkester-biljetter/1987988787,https://s1.ticketm.net/dam/e/b3b/a24baa89-93ba-46a5-93f4-84c897efdb3b_RETINA_LANDSCAPE_16_9.jpg,2026-11-25,19:00,onsale,Arts & Theatre,Dance,Ballet,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Wednesday,November,11,2026,19
Z698xZq2Z16vpdo707,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1583444904,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg,2026-11-26,18:30,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,Thursday,November,11,2026,18
Z698xZq2Z16v0Iudp3,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1928343592,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-11-26,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Thursday,November,11,2026,19
Z698xZq2Z1k_NvtPK,Tomten är far till alla barnen,https://www.ticketmaster.se/event/tomten-ar-far-till-alla-barnen-biljetter/663069953,https://s1.ticketm.net/dam/a/485/f1148298-044b-465e-852e-b6195da2c485_CUSTOM.jpg,2026-11-26,19:30,onsale,Arts & Theatre,Theatre,Miscellaneous,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,Thursday,November,11,2026,19
Z698xZq2Z16ev-GgvS,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/2061335073,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg,2026-11-27,18:30,onsale,Arts & Theatre,Theatre,Miscellaneous,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,Friday,November,11,2026,18
Z698xZq2Z16vOMPF16,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1837948287,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-11-27,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Friday,November,11,2026,19
Z698xZq2Z1kF3qwak,Tomten är far till alla barnen,https://www.ticketmaster.se/event/tomten-ar-far-till-alla-barnen-biljetter/212772246,https://s1.ticketm.net/dam/a/485/f1148298-044b-465e-852e-b6195da2c485_CUSTOM.jpg,2026-11-27,19:30,onsale,Arts & Theatre,Theatre,Miscellaneous,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,Friday,November,11,2026,19
Z698xZq2Z16vZ7F4J7,MAFFIA COMEDY SUPERWEEKEND med Diyari Mahmoud m.fl,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-diyari-mahmoud-mfl-biljetter/1004215984,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg,2026-11-27,20:00,onsale,Arts & Theatre,Comedy,Comedy,Clarion Hotel Sign,Stockholm, Östra Järnvägsgatan 35,59.99333,18.89062,Friday,November,11,2026,20
Z698xZq2Z16eZbfvax,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/2018501262,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg,2026-11-28,13:00,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,Saturday,November,11,2026,13
Z698xZq2Z16vZpPZ3p,Tomten är far till alla barnen,https://www.ticketmaster.se/event/tomten-ar-far-till-alla-barnen-biljetter/1016940496,https://s1.ticketm.net/dam/a/485/f1148298-044b-465e-852e-b6195da2c485_CUSTOM.jpg,2026-11-28,15:00,onsale,Arts & Theatre,Theatre,Musical,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,Saturday,November,11,2026,15
Z698xZq2Z1k381opK,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/490291593,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-11-28,15:00,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Saturday,November,11,2026,15
Z698xZq2Z16vAY_o8V,Tomten är far till alla barnen,https://www.ticketmaster.se/event/tomten-ar-far-till-alla-barnen-biljetter/1170651434,https://s1.ticketm.net/dam/a/485/f1148298-044b-465e-852e-b6195da2c485_CUSTOM.jpg,2026-11-28,19:30,onsale,Arts & Theatre,Theatre,Musical,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,Saturday,November,11,2026,19
Z698xZq2Z16vG7j8j0,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1304710724,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-11-28,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Saturday,November,11,2026,19
Z698xZq2Z16vubuZj9,MAMMA MIA! THE PARTY,https://www.ticketmaster.se/event/mamma-mia-the-party-biljetter/1358340717,https://s1.ticketm.net/dam/a/08d/3e62af05-2974-4fea-836f-c0c75ed0008d_RETINA_LANDSCAPE_16_9.jpg,2026-11-28,19:30,onsale,Arts & Theatre,Theatre,Musical,Tyrol,Stockholm,Lilla Allmänna Gränd 2,59.324127,18.096259,Saturday,November,11,2026,19
Z698xZq2Z16v1vxpa0,MAFFIA COMEDY SUPERWEEKEND med Diyari Mahmoud m.fl,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-diyari-mahmoud-mfl-biljetter/1281896264,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg,2026-11-28,20:00,onsale,Arts & Theatre,Comedy,Comedy,Clarion Hotel Sign,Stockholm, Östra Järnvägsgatan 35,59.99333,18.89062,Saturday,November,11,2026,20
